country,year,area_selvatica_km2,superficie_total_km2,areas_protegidas,gasto_RD_pib,efectividad_gobierno,art_cientificos,uso_internet,pib_per_capita,inscripcion_primaria,inscripcion_secundaria,inscripcion_terciaria,gasto_educacion_gobierno,gasto_educacion_pib,investigadores_RD,tecnicos_RD,countryCode,region,incomeLevel,occurrenceCount,occurrenceCount_publisher,gbif_member,ogp_membership
Angola,2010,721580.0,1246700.0,,,-1.13826775550842,14.68,2.8,3597.34293216332,113.87258174337,28.2108038778932,,8.68476963043213,3.42131996154785,,,AO,Sub-Saharan Africa ,Lower middle income,61499.0,,No,No
Angola,2011,716029.38,1246700.0,,,-1.19323122501373,17.78,4.7,4615.91059831778,128.386344899029,29.6869517832747,6.44004138280629,,,48.42677,35.4243,AO,Sub-Saharan Africa ,Lower middle income,101889.0,,No,No
Angola,2012,710478.76,1246700.0,,,-0.988945424556732,21.3,7.7,5086.02740086376,,,,8.37043244524554,3.08191085718142,,,AO,Sub-Saharan Africa ,Lower middle income,111342.0,,No,No
Angola,2013,704928.14,1246700.0,8.9,,-1.24288654327393,23.85,13.0,5057.74787833163,,,9.22339720175662,8.82697061127785,4.43894951297476,,,AO,Sub-Saharan Africa ,Lower middle income,169534.0,,No,No
Angola,2014,699377.52,1246700.0,5.0,,-1.05657386779785,34.57,21.3623,5005.9997412707,,,,,,,,AO,Sub-Saharan Africa ,Lower middle income,137709.0,,No,No
Angola,2015,693826.9,1246700.0,5.0,,-0.929087340831757,32.12,22.0,3213.90261080059,120.580276489258,,8.78320868033121,8.9187765351992,3.48689580393413,,,AO,Sub-Saharan Africa ,Lower middle income,157155.0,,No,No
Angola,2016,688276.2,1246700.0,5.0,0.03229,-0.971493542194366,37.81,23.2,1807.95294072643,,54.4167987304753,9.78287696232453,6.55097404850717,2.75493664582725,18.93579,5.20066,AO,Sub-Saharan Africa ,Lower middle income,178619.0,,No,No
Angola,2017,682725.7,1246700.0,5.0,,-0.951988995075226,55.13,26.0,2437.25971190821,,,,6.76377686213957,2.46687881104886,,,AO,Sub-Saharan Africa ,Lower middle income,189157.0,18551.0,No,No
Angola,2018,677175.1,1246700.0,5.0,,-1.00525164604187,29.7,29.0,2538.59139143371,,,,5.77752454566543,2.18351298946275,,,AO,Sub-Saharan Africa ,Lower middle income,218450.0,38638.0,No,No
Angola,2019,671624.4,1246700.0,5.0,,-1.1284898519516,36.39,32.1294,2189.85571407618,,,,6.04535564723515,2.07306438181603,,,AO,Sub-Saharan Africa ,Lower middle income,264629.0,76273.0,Sí,No
Angola,2020,666073.8,1246700.0,5.0,,-1.25748455524445,48.51,36.6347,1449.92286669308,,,,5.29473572273771,2.66744733689285,,,AO,Sub-Saharan Africa ,Lower middle income,275331.0,68249.0,Sí,No
Angola,2021,660523.133,1246700.0,5.0,,-1.1263599395752,42.35,39.3876,1925.87466082167,89.2266094661321,53.1351542727131,,6.91961006302706,2.29719689513241,,,AO,Sub-Saharan Africa ,Lower middle income,287558.0,72205.0,Sí,No
Angola,2022,654972.511,1246700.0,5.0,,-1.02603423595428,44.99,42.0719,2929.69445467272,,,,6.64047212078077,2.38535898416633,,,AO,Sub-Saharan Africa ,Lower middle income,306891.0,74360.0,Sí,No
Angola,2023,649421.859,1246700.0,7.7,,-1.00890958309174,,44.7581,2309.53413042773,86.7353918783767,51.4839046246776,10.04935810264,7.73896250991202,2.51273663315785,,,AO,Sub-Saharan Africa ,Lower middle income,334408.0,91374.0,Sí,No
Angola,2024,,,7.7,,,,,2122.08368991872,,,9.9549065722902,6.36976605603197,,,,AO,Sub-Saharan Africa ,Lower middle income,379667.0,113871.0,Sí,No
Andorra,2000,160.0,470.0,,,1.38048672676086,0.0,10.5388,21810.2487431414,,,,,,,,AD,Europe & Central Asia,High income,,,No,No
Andorra,2001,160.0,470.0,,,,2.64,,23511.2951475737,,,,,,,,AD,Europe & Central Asia,High income,,,No,No
Andorra,2002,160.0,470.0,,,1.36772322654724,0.5,11.2605,26528.130158144,100.489242553711,82.6385192871094,7.30906009674072,,1.65971004962921,,,AD,Europe & Central Asia,High income,,,No,No
Andorra,2003,160.0,470.0,,,1.34903717041016,4.7,13.5464,34063.5784034776,102.448677062988,83.0041580200195,8.82606983184814,,,,,AD,Europe & Central Asia,High income,,,No,No
Andorra,2004,160.0,470.0,,,1.50376403331757,1.31,26.838,39021.1278101878,99.3939437866211,79.7546005249023,8.74042987823486,,1.54411995410919,,,AD,Europe & Central Asia,High income,,,No,No
Andorra,2005,160.0,470.0,,,1.28759801387787,4.93,37.6058,40829.801876968,90.0573196411133,86.0663299560547,8.45697021484375,,1.64497005939484,,,AD,Europe & Central Asia,High income,,,No,No
Andorra,2006,160.0,470.0,,,1.53840279579163,5.02,48.9368,43467.2109930745,90.3818130493164,85.2862777709961,9.93558025360107,,2.24489998817444,,,AD,Europe & Central Asia,High income,,,No,No
Andorra,2007,160.0,470.0,,,1.50177264213562,6.23,70.87,48336.2283329823,88.5400009155273,82.7160491943359,,,2.10469007492065,,,AD,Europe & Central Asia,High income,13343.0,,No,No
Andorra,2008,160.0,470.0,,,1.52840650081635,1.68,70.04,49132.515707808,87.0373992919922,82.462532043457,11.0230503082275,,2.87392997741699,,,AD,Europe & Central Asia,High income,15025.0,,No,No
Andorra,2009,160.0,470.0,,,1.53620111942291,2.55,78.53,43975.0183668093,85.0247116088867,82.9412994384766,,,3.14292001724243,,,AD,Europe & Central Asia,High income,22818.0,,No,No
Andorra,2010,160.0,470.0,,,1.51271617412567,1.2,81.0,42746.8309526019,84.9445571899414,85.4886322021484,,,2.97662997245789,,,AD,Europe & Central Asia,High income,12456.0,,Sí,No
Andorra,2011,160.0,470.0,,,1.49892425537109,0.88,81.0,46657.1561173756,86.2257308959961,86.196891784668,,,2.98706007003784,,,AD,Europe & Central Asia,High income,87676.0,75142.0,Sí,No
Andorra,2012,160.0,470.0,,,1.52334606647491,4.53,82.7,41500.5435791686,83.5187072753906,87.2305068969727,12.870249017038,9.84161391329076,2.56577895521486,,,AD,Europe & Central Asia,High income,94614.0,81816.0,Sí,No
Andorra,2013,160.0,470.0,9.2,,1.53249549865723,5.26,84.4,42470.3161159692,85.0512237548828,86.7936096191406,14.5405405405405,6.19552993774414,2.50616002082825,,,AD,Europe & Central Asia,High income,95055.0,81816.0,Sí,No
Andorra,2014,160.0,470.0,18.2,,1.71216595172882,4.18,86.1,44369.659691379,87.0263326910726,88.978157043457,13.5399673735726,13.3152103424072,3.07420992851257,,,AD,Europe & Central Asia,High income,95724.0,81816.0,Sí,No
Andorra,2015,160.0,470.0,21.1,,1.74073541164398,7.96,87.9,38654.9347203095,88.5957446808511,91.2962188720703,13.8206896551724,10.4428100585938,3.28034996986389,,,AD,Europe & Central Asia,High income,96956.0,81816.0,Sí,No
Andorra,2016,160.0,470.0,21.1,,1.80540561676025,7.83,89.7,40129.8192007698,91.0415773681955,94.6524124145508,15.2011095700416,9.99098014831543,3.23707008361816,,,AD,Europe & Central Asia,High income,126300.0,110719.0,Sí,No
Andorra,2017,160.0,470.0,26.7,,1.87694644927979,1.67,91.5675,40672.9943348258,90.2031316123572,95.1090393066406,15.6664896441848,9.39243984222412,3.21708989143372,,,AD,Europe & Central Asia,High income,127762.0,111790.0,Sí,No
Andorra,2018,160.0,470.0,26.7,,1.87921941280365,3.19,,42819.7745797624,90.7088926174497,95.9804306030273,15.7132150886835,13.4619197845459,3.2467200756073,,,AD,Europe & Central Asia,High income,129833.0,111790.0,Sí,No
Andorra,2019,160.0,470.0,26.7,,1.85192060470581,5.41,90.7187,41257.8045846483,90.3239289446186,96.574333190918,15.4352596927579,10.8952398300171,3.15060997009277,,,AD,Europe & Central Asia,High income,132557.0,113290.0,Sí,No
Andorra,2020,160.0,470.0,26.7,,1.7492413520813,8.14,93.2056,37361.0900666982,89.4271272114575,97.1500396728516,15.2605749006777,8.99186922593895,2.63213046553066,,,AD,Europe & Central Asia,High income,137708.0,114622.0,Sí,No
Andorra,2021,160.0,470.0,26.9,,1.74892807006836,9.44,93.8975,42425.6996756291,89.7379912663755,98.0404205322266,15.4117647058823,10.264735366383,2.381921736037,,,AD,Europe & Central Asia,High income,141452.0,115904.0,Sí,No
Andorra,2022,160.0,470.0,26.9,,1.49526071548462,9.6,94.4855,42414.0590092117,90.4656808651512,98.5098724365234,34.6414389161411,6.96128988265991,2.64727997779846,,,AD,Europe & Central Asia,High income,147117.0,118243.0,Sí,No
Andorra,2023,160.0,470.0,26.9,,1.4754387140274,,95.4456,46812.4484486309,97.4446725986767,99.5086517333984,62.4106937082277,11.6209201812744,1.89867997169495,,,AD,Europe & Central Asia,High income,153762.0,1323580.0,Sí,No
Andorra,2024,,,27.3,,,,,49303.6733899464,99.8579545454545,101.923820495605,67.6767676767677,12.0045154081126,,,,AD,Europe & Central Asia,High income,192300.0,132270.0,Sí,No
Argentina,2000,333780.0,2780400.0,,0.43884,-0.0280386935919523,4231.85,7.03868,7637.01489203628,116.558296203613,96.2141189575195,54.0843505859375,16.2261505126953,4.58030986785889,713.92711,158.28249,AR,Latin America & Caribbean ,Upper middle income,,,No,No
Argentina,2001,330616.0,2780400.0,,0.42461,,4356.17,9.78081,7141.47507662826,116.749336242676,97.6240463256836,58.4697608947754,16.3559608459473,4.833740234375,685.59721,166.62351,AR,Latin America & Caribbean ,Upper middle income,,,No,No
Argentina,2002,327452.0,2780400.0,,0.38886,-0.228479072451591,4681.53,10.8821,2569.69963519124,116.877983093262,96.9965667724609,61.7228813171387,16.4422092437744,4.01734018325806,689.51093,161.13902,AR,Latin America & Caribbean ,Upper middle income,,,Sí,No
Argentina,2003,324288.0,2780400.0,,0.41013,-0.0342199839651585,4484.81,11.9137,3320.47775133903,114.37532043457,96.0464477539062,64.0304870605469,14.3547201156616,3.53504991531372,715.84326,168.76765,AR,Latin America & Caribbean ,Upper middle income,,,Sí,No
Argentina,2004,321124.0,2780400.0,,0.40376,0.015197392553091,4604.3,16.0367,4242.02099089422,115.446090698242,95.4575576782227,64.5891418457031,15.1393003463745,3.48652005195618,763.13901,180.99878,AR,Latin America & Caribbean ,Upper middle income,,,Sí,No
Argentina,2005,317960.0,2780400.0,,0.42074,-0.0979790613055229,4883.23,17.7206,5067.65342293276,114.580780029297,93.6376724243164,63.4893112182617,15.8031702041626,3.86000990867615,816.8412,200.24204,AR,Latin America & Caribbean ,Upper middle income,,,Sí,No
Argentina,2006,314796.0,2780400.0,,0.45216,-0.0339163094758987,5574.16,20.9272,5869.38028970204,116.187850952148,92.4075775146484,66.9444732666016,15.5098400115967,4.12821006774902,888.89168,207.45801,AR,Latin America & Caribbean ,Upper middle income,,,Sí,No
Argentina,2007,311632.0,2780400.0,,0.46007,-0.0125325033441186,5682.94,25.9466,7185.25155147027,117.236312866211,92.1874084472656,66.6672210693359,15.1015701293945,4.46260023117065,971.29008,194.83778,AR,Latin America & Caribbean ,Upper middle income,229042.0,3442.0,Sí,No
Argentina,2008,308468.0,2780400.0,,0.47055,-0.123509347438812,6229.5,28.1126,8944.1102657357,118.320129394531,93.183219909668,68.5610733032227,15.7478399276733,4.84440994262695,1032.67483,205.4882,AR,Latin America & Caribbean ,Upper middle income,276417.0,86381.0,Sí,No
Argentina,2009,305304.0,2780400.0,,0.58398,-0.294032037258148,6819.11,34.0,8150.23527028221,118.293312072754,96.4056777954102,70.6931915283203,16.0206699371338,5.53105020523071,1031.64133,227.03476,AR,Latin America & Caribbean ,Upper middle income,446752.0,173910.0,Sí,No
Argentina,2010,302140.0,2780400.0,,0.56104,-0.1117919459939,7153.65,45.0,10260.1313108254,118.128196716309,99.0709991455078,73.803669361107,15.0479698181152,5.01971006393433,1119.05035,247.45846,AR,Latin America & Caribbean ,Upper middle income,598811.0,254915.0,Sí,No
Argentina,2011,299906.0,2780400.0,,0.56597,-0.0723610669374466,7625.07,51.0,12704.2831819684,117.372833251953,100.884559631348,77.0101185060955,15.1585597991943,5.29062986373901,1175.37229,272.47976,AR,Latin America & Caribbean ,Upper middle income,911332.0,641647.0,Sí,No
Argentina,2012,297672.0,2780400.0,,0.63491,-0.206967011094093,7803.52,55.8,12949.717486654,116.43643951416,102.709991455078,78.1465174294761,14.5182600021362,5.34582996368408,1197.6554,307.17135,AR,Latin America & Caribbean ,Upper middle income,1029241.0,707956.0,Sí,Sí
Argentina,2013,295438.0,2780400.0,5.0,0.61849,-0.254236966371536,7945.07,59.9,12963.675773326,114.421348571777,104.540863037109,78.5681646081939,14.457929611206,5.43661022186279,1193.37333,320.69368,AR,Latin America & Caribbean ,Upper middle income,1151366.0,778094.0,Sí,Sí
Argentina,2014,293204.0,2780400.0,7.3,0.59396,-0.111114293336868,8330.4,64.7,12233.1444119186,113.873519897461,106.038902282715,81.072589697739,13.7993297576904,5.36144018173218,1202.47388,318.78033,AR,Latin America & Caribbean ,Upper middle income,1404399.0,897534.0,Sí,Sí
Argentina,2015,290970.0,2780400.0,7.4,0.62262,-0.0494756102561951,8393.72,68.0431,13679.6264980954,112.936653137207,107.504867553711,83.75569332589,13.9633102416992,5.77611017227173,1225.50983,326.07927,AR,Latin America & Caribbean ,Upper middle income,1796624.0,974550.0,Sí,Sí
Argentina,2016,290100.0,2780400.0,7.5,0.55815,0.218796372413635,8601.99,70.969,12699.9623137756,111.654647827148,109.598327636719,86.6743832906399,13.3555402755737,5.54548978805542,1254.06674,328.60276,AR,Latin America & Caribbean ,Upper middle income,2643619.0,1184048.0,Sí,Sí
Argentina,2017,288990.0,2780400.0,7.5,0.55631,0.135085612535477,8793.98,74.2949,14532.5009308511,109.879669189453,110.377799987793,89.3297346952415,13.2639198303223,5.45431995391846,1206.01905,349.52207,AR,Latin America & Caribbean ,Upper middle income,3196293.0,2690570.0,Sí,Sí
Argentina,2018,287910.0,2780400.0,7.2,0.4883,0.0280606187880039,9234.47,77.7,11752.7998922979,109.305458068848,109.671241760254,91.0846512732766,12.5233402252197,4.87773990631104,1220.93622,398.051,AR,Latin America & Caribbean ,Upper middle income,3263695.0,2707546.0,Sí,Sí
Argentina,2019,286810.0,2780400.0,9.4,0.47813,-0.120795331895351,9223.65,79.947,9955.97478680428,109.338218688965,110.460151672363,95.1928240640628,12.5144596099853,4.7716498374939,1224.69939,,AR,Latin America & Caribbean ,Upper middle income,4926382.0,4256835.0,Sí,Sí
Argentina,2020,285730.0,2780400.0,9.4,0.54126,-0.254261821508408,9999.61,85.5144,8535.59938004389,108.504623413086,112.376731872559,99.3697348717996,12.4222898483276,5.27689981460571,1250.48347,,AR,Latin America & Caribbean ,Upper middle income,6502956.0,5624163.0,Sí,Sí
Argentina,2021,284640.0,2780400.0,9.4,0.52216,-0.390557259321213,9980.73,87.1507,10738.0179223384,108.139617919922,115.735778808594,107.219557633976,12.2848997116089,4.65393018722534,1288.13477,,AR,Latin America & Caribbean ,Upper middle income,8079970.0,7001654.0,Sí,Sí
Argentina,2022,283550.0,2780400.0,9.6,0.54947,-0.28348970413208,9122.18,88.3754,13935.6811110049,106.759826660156,114.14811706543,107.103901423423,12.7075796127319,4.79263019561768,1296.45435,,AR,Latin America & Caribbean ,Upper middle income,10168670.0,9109247.0,Sí,Sí
Argentina,2023,282461.852,2780400.0,9.6,,-0.377517342567444,,89.229,14187.4827252965,102.535244031037,105.574584297051,107.822574129434,13.9669579469216,5.89754023690244,,,AR,Latin America & Caribbean ,Upper middle income,12578557.0,11417110.0,Sí,Sí
Argentina,2024,,,9.7,,,,89.6672,13858.2039802008,,,,,,,,AR,Latin America & Caribbean ,Upper middle income,15232939.0,13885152.0,Sí,Sí
Armenia,2000,3326.4,29740.0,,0.19106,-0.546417593955994,348.04,1.30047,593.450581742282,90.6347198486328,86.0512008666992,32.5305213928223,,2.77273011207581,,,AM,Europe & Central Asia,Upper middle income,,,No,No
Armenia,2001,3324.32,29740.0,,0.27987,,323.2,1.63109,659.588988535629,100.956871032715,86.7833099365234,31.3409194946289,,2.46943998336792,,,AM,Europe & Central Asia,Upper middle income,,,No,No
Armenia,2002,3322.24,29740.0,,0.25255,-0.0457692667841911,319.06,1.96041,742.651118319819,100.275489807129,,33.9618911743164,,2.13504004478455,,,AM,Europe & Central Asia,Upper middle income,,,No,No
Armenia,2003,3320.16,29740.0,,0.32109,-0.197253704071045,323.45,4.57522,882.030167695474,102.086128234863,,35.0657081604004,,2.1450400352478,,,AM,Europe & Central Asia,Upper middle income,,,No,No
Armenia,2004,3318.08,29740.0,,0.25659,-0.118263445794582,344.62,4.89901,1130.08791444158,102.151290893555,88.6511611938477,35.8360900878906,,2.48673009872436,,,AM,Europe & Central Asia,Upper middle income,,,No,No
Armenia,2005,3316.0,29740.0,,0.25761,-0.142497807741165,394.95,5.25298,1557.48458908655,100.4091796875,92.0563430786133,37.7094497680664,13.6480903625488,2.71202993392944,,,AM,Europe & Central Asia,Upper middle income,,,No,No
Armenia,2006,3313.92,29740.0,,0.24057,-0.261502921581268,358.51,5.63179,2041.65267068997,103.896697998047,95.2676467895508,41.5903587341309,13.578519821167,2.71577000617981,,,AM,Europe & Central Asia,Upper middle income,,,No,No
Armenia,2007,3311.84,29740.0,,0.21107,-0.381906569004059,405.91,6.02125,2962.70234594569,116.752250671387,96.8182601928711,44.4558410644531,13.4655895233154,3.01893997192383,,,AM,Europe & Central Asia,Upper middle income,16061.0,,No,No
Armenia,2008,3309.76,29740.0,,0.22438,-0.177952587604523,384.85,6.21,3777.66859313767,117.701438903809,96.5329437255859,46.5244903564453,14.2684497833252,3.17272996902466,,,AM,Europe & Central Asia,Upper middle income,17207.0,,No,No
Armenia,2009,3307.68,29740.0,,0.29093,-0.0268956422805786,438.63,15.3,2820.5926553347,113.782722473145,102.957763671875,49.0897102355957,13.4512195587158,3.84079003334045,,,AM,Europe & Central Asia,Upper middle income,17155.0,,No,No
Armenia,2010,3305.6,29740.0,,0.24139,-0.171523153781891,493.99,25.0,3041.34450723339,100.985866600546,107.732391357422,50.5839875932926,12.4005098342896,3.24900007247925,,,AM,Europe & Central Asia,Upper middle income,17532.0,,No,No
Armenia,2011,3303.52,29740.0,,0.27014,-0.11502830684185,588.71,32.0,3349.55309771906,98.334903726507,94.8774032592773,51.2949290708131,12.593339920044,3.14385008811951,,,AM,Europe & Central Asia,Upper middle income,22505.0,,No,Sí
Armenia,2012,3301.44,29740.0,,0.23853,-0.0323866233229637,548.98,37.5,3511.56399687426,97.0881274408756,,44.4855719494927,12.3689699172974,2.77248001098633,,,AM,Europe & Central Asia,Upper middle income,24037.0,,No,Sí
Armenia,2013,3299.36,29740.0,23.3,0.22216,0.0783172845840454,532.37,41.9,3680.16692158886,95.8742927261572,86.8721923828125,44.8347790892711,11.1367597579956,2.65018010139465,,,AM,Europe & Central Asia,Upper middle income,25563.0,,No,Sí
Armenia,2014,3297.28,29740.0,23.1,0.24151,-0.257329761981964,540.71,54.6228,3852.11800610384,94.4177603466209,86.5204010009766,47.7150849538629,9.36711978912354,2.24724006652832,,,AM,Europe & Central Asia,Upper middle income,34547.0,,No,Sí
Armenia,2015,3295.2,29740.0,23.1,0.25002,-0.331789612770081,534.03,59.1008,3512.39350276709,93.088059144009,86.442138671875,48.7313687040259,10.6563596725464,2.80591011047363,,,AM,Europe & Central Asia,Upper middle income,40369.0,,No,Sí
Armenia,2016,3293.1,29740.0,23.1,0.23305,-0.31255441904068,536.98,64.346,3524.42476874707,93.1108003536782,,54.3432877365993,10.1971998214722,2.75812005996704,,,AM,Europe & Central Asia,Upper middle income,69180.0,,No,Sí
Armenia,2017,3291.0,29740.0,23.1,0.22788,-0.251550018787384,539.3,64.7449,3869.05373867752,93.0989957836376,,55.5065519523494,10.4031295776367,2.70759010314941,,,AM,Europe & Central Asia,Upper middle income,80926.0,2605.0,No,Sí
Armenia,2018,3288.9,29740.0,23.1,0.18876,-0.170582666993141,524.57,68.2451,4196.00562301769,92.1345008167579,83.0249410833595,57.4585357681354,8.67858759584602,2.11331180512289,,,AM,Europe & Central Asia,Upper middle income,89349.0,2605.0,No,Sí
Armenia,2019,3286.8,29740.0,24.3,0.17854,-0.226045966148376,627.03,66.5439,4597.22887399548,92.3228240527597,86.8260633029699,53.5944174785534,8.57524427236558,2.15984239839771,,,AM,Europe & Central Asia,Upper middle income,101193.0,10171.0,No,Sí
Armenia,2020,3284.7,29740.0,24.3,0.2092,-0.304547429084778,622.39,76.5077,4268.68093304583,92.8692618061259,88.5080298201293,52.3331534448642,8.82777976989746,2.70555996894836,,,AM,Europe & Central Asia,Upper middle income,142196.0,31037.0,Sí,Sí
Armenia,2021,3282.6,29740.0,24.3,0.20557,-0.282197445631027,576.14,78.6123,4685.17997128509,94.6392203828781,91.4853735120921,56.6235144830279,9.6553201675415,2.76784992218018,,,AM,Europe & Central Asia,Upper middle income,154883.0,35002.0,Sí,Sí
Armenia,2022,3280.5,29740.0,24.7,0.20955,-0.314792364835739,655.3,77.0277,6571.97445545099,96.9454296559019,91.7106609922965,57.1818422625098,9.4465503692627,2.4918999671936,1187.43401,,AM,Europe & Central Asia,Upper middle income,172271.0,52831.0,Sí,Sí
Armenia,2023,3276.3,29740.0,24.7,0.18115,-0.184129968285561,,79.9966,8125.27395754003,98.0899878191202,89.4111027634947,56.2770051010456,9.03689956665039,2.43869996070862,1039.84774,,AM,Europe & Central Asia,Upper middle income,197929.0,66017.0,Sí,Sí
Armenia,2024,,,38.9,,,,,8500.60522486719,101.990554375733,90.9458714101262,52.7748065090859,9.44001466301154,,,,AM,Europe & Central Asia,Upper middle income,240258.0,91724.0,Sí,Sí
Australia,2000,1318141.0,7741220.0,,1.57198,1.73217022418976,23495.94,46.7561,21870.4159669594,101.583541870117,,,,,3470.70203,819.47485,AU,East Asia & Pacific,High income,,,No,No
Australia,2001,1315873.0,7741220.0,,,,23969.95,52.6893,19695.7297379144,101.439407348633,,,,,,,AU,East Asia & Pacific,High income,,,Sí,No
Australia,2002,1313605.0,7741220.0,,1.74654,1.65919864177704,24502.31,,20301.8431713256,102.534507751465,,,,,3755.80266,961.32396,AU,East Asia & Pacific,High income,,,Sí,No
Australia,2003,1311337.0,7741220.0,,,1.77327883243561,25877.1,,23718.1338501868,102.854759216309,,,,,,,AU,East Asia & Pacific,High income,,,Sí,No
Australia,2004,1309069.0,7741220.0,,1.84802,1.98494184017181,28033.19,,30836.7306824685,103.302062988281,,,,,4073.65927,885.3275,AU,East Asia & Pacific,High income,,,Sí,No
Australia,2005,1306801.0,7741220.0,,,1.74618124961853,31994.97,63.0,34479.7679298388,103.397911071777,,,,,,,AU,East Asia & Pacific,High income,,,Sí,No
Australia,2006,1304533.0,7741220.0,,2.17862,1.70789933204651,34320.11,66.0,36595.7071548423,103.562561035156,,,,,4269.01789,1017.79166,AU,East Asia & Pacific,High income,,,Sí,No
Australia,2007,1302265.0,7741220.0,,,1.81895518302917,36315.46,69.45,41051.6120652288,105.422981262207,,,,,,,AU,East Asia & Pacific,High income,2588735.0,2420561.0,Sí,No
Australia,2008,1299997.0,7741220.0,,2.39898,1.78476786613464,37767.96,71.67,49701.2817843335,105.24462890625,,,,,4379.63519,1136.46069,AU,East Asia & Pacific,High income,3197266.0,3350809.0,Sí,No
Australia,2009,1297729.0,7741220.0,,,1.70196378231049,39537.36,74.25,42816.5674002829,105.215629577637,,,,,,,AU,East Asia & Pacific,High income,3655689.0,3904863.0,Sí,No
Australia,2010,1295461.0,7741220.0,,2.37009,1.76339137554169,42096.62,76.0,52144.6654705468,105.488502502441,,,,,4568.56658,,AU,East Asia & Pacific,High income,4002434.0,4242810.0,Sí,No
Australia,2011,1302557.8,7741220.0,,2.23445,1.69013810157776,45374.3,79.4877,62605.600458306,105.274879455566,,,,,,,AU,East Asia & Pacific,High income,20400874.0,20775077.0,Sí,No
Australia,2012,1309654.6,7741220.0,,,1.61314845085144,46728.07,79.0,68072.8732340801,105.669723510742,,,,,,,AU,East Asia & Pacific,High income,28228658.0,28385094.0,Sí,No
Australia,2013,1316751.4,7741220.0,28.1,2.17709,1.632453083992,50921.2,83.4535,68190.7010035651,105.802581787109,,,,,,,AU,East Asia & Pacific,High income,32031067.0,31982660.0,Sí,No
Australia,2014,1323848.2,7741220.0,29.0,,1.60089492797852,52854.67,84.0,62544.0873773726,105.461601257324,,,,,,,AU,East Asia & Pacific,High income,37386915.0,36653915.0,Sí,No
Australia,2015,1330945.0,7741220.0,28.7,1.91902,1.53325247764587,54235.21,84.5605,56739.0265346593,101.665489196777,159.110763549805,119.679389953613,,,,,AU,East Asia & Pacific,High income,45308566.0,40384548.0,Sí,Sí
Australia,2016,1340372.0,7741220.0,28.6,,1.53218841552734,55173.81,86.54,49888.0410842736,101.180686950684,155.594390869141,119.682777404785,,,,,AU,East Asia & Pacific,High income,43839180.0,36691185.0,Sí,Sí
Australia,2017,1340174.0,7741220.0,29.7,1.87919,1.49838602542877,55219.84,86.545,53901.7145392154,100.637657165527,153.576126098633,109.993309020996,,,,,AU,East Asia & Pacific,High income,66275539.0,71015071.0,Sí,Sí
Australia,2018,1340051.0,7741220.0,29.7,,1.55598998069763,56691.37,90.0,57196.4220783778,100.398712158203,136.105545043945,103.322090148926,,,,,AU,East Asia & Pacific,High income,73687755.0,75144489.0,Sí,Sí
Australia,2019,1340051.0,7741220.0,29.9,1.8257,1.53869080543518,58770.26,93.6099,54972.7017885437,100.199699401855,144.056564331055,109.759559631348,,,,,AU,East Asia & Pacific,High income,90834849.0,80447508.0,Sí,Sí
